MGI_ID	OMIM_ID
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_94863	http://mowl.borg/OMIM_119800
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_109340	http://mowl.borg/OMIM_180500
http://mowl.borg/MGI_1100864	http://mowl.borg/OMIM_611884
http://mowl.borg/MGI_1100864	http://mowl.borg/OMIM_611884
http://mowl.borg/MGI_1100864	http://mowl.borg/OMIM_611884
http://mowl.borg/MGI_1100864	http://mowl.borg/OMIM_611884
http://mowl.borg/MGI_97603	http://mowl.borg/OMIM_173900
http://mowl.borg/MGI_97603	http://mowl.borg/OMIM_173900
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_98297	http://mowl.borg/OMIM_142945
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_1099818	http://mowl.borg/OMIM_613095
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_614074
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_614074
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_614074
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_185050
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_185050
http://mowl.borg/MGI_2180307	http://mowl.borg/OMIM_185050
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
http://mowl.borg/MGI_1350931	http://mowl.borg/OMIM_259700
